FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2023,SEP,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Ketamine,1,22.0021337476
2023,SEP,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Marijuana,39,3.1001182820178
2023,SEP,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Other Drugs**,13,2.2927854785738
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Cocaine,7,10.22393740025
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ketamine,1,0.511031523316
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Marijuana,37,48.2909136713018
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Methamphetamine,30,152.000572545306
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Other Drugs**,14,2.9744547926778
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Cocaine,6,9.766257744338
2023,SEP,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Marijuana,83,154.101688133297
2023,SEP,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Cocaine,1,1.40103767501
2023,SEP,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Ketamine,1,2.13187007354
2023,SEP,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Marijuana,16,5.1240059396302
2023,SEP,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Methamphetamine,2,0.038801358112
2023,SEP,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Other Drugs**,12,2.5207214112556
2023,SEP,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Marijuana,32,5.39360923983
2023,SEP,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Other Drugs**,2,0.053572329666
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Cocaine,1,0.0095460159446
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Ecstasy,3,0.518306777962
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Lsd,1,0.00110231131
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Marijuana,45,401.162611812466
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Methamphetamine,1,0.02976240537
2023,SEP,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Other Drugs**,5,0.1045872970928
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Cocaine,5,0.1065053187722
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Ecstasy,2,0.0032187490252
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Fentanyl,1,0.0204809441398
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Lsd,1,0.0020502990366
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Marijuana,115,9.2560419313914
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Methamphetamine,4,0.0164464847452
2023,SEP,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Other Drugs**,77,5.44211093747
2023,SEP,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Lsd,2,0.024691773344
2023,SEP,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Marijuana,70,2.7982613528874
2023,SEP,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Other Drugs**,9,1.2742057356814
2023,SEP,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Cocaine,1,29.4978506556
2023,SEP,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Ecstasy,1,0.02425084882
2023,SEP,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Marijuana,2,0.18077905484
2023,SEP,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Other Drugs**,4,11.025979109406
2023,SEP,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Ecstasy,2,0.017416518698
2023,SEP,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Fentanyl,1,0.3194718638642
2023,SEP,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Khat (Catha Edulis),1,4.4312914662
2023,SEP,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Marijuana,10,11.030608816908
2023,SEP,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Other Drugs**,1,0.020282528104
2023,SEP,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Marijuana,15,41.6614811756046
2023,SEP,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Other Drugs**,12,5.0703454250594
2023,SEP,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Cocaine,1,8.8625829324
2023,SEP,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Ecstasy,1,0.00220462262
2023,SEP,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Marijuana,4,5.8085412631402
2023,SEP,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Other Drugs**,3,0.771617917
2023,SEP,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Lsd,2,0.0316804270494
2023,SEP,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Marijuana,6,56.3957016705292
2023,SEP,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Methamphetamine,3,0.0621703578839999
2023,SEP,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Other Drugs**,6,0.3039733668456
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Cocaine,8,172.269983144717
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Fentanyl,3,6.236392375003599
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Heroin,1,34.612575134
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Marijuana,41,231.6112149591496
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Methamphetamine,8,408.86600417127
2023,SEP,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Other Drugs**,20,23.0379536393808
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Cocaine,15,1563.4837274826398
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Ecstasy,1,0.0032407952514
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Heroin,1,12.125865334524
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Marijuana,7,4537.663096656524
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Methamphetamine,9,1703.107680916623
2023,SEP,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other Drugs**,45,251.4974401009784
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Cocaine,24,1186.938174353582
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Fentanyl,30,950.5812005577156
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Heroin,12,58.711745917744
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Marijuana,37,2598.510373998537
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Methamphetamine,82,6432.910649606078
2023,SEP,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Other Drugs**,26,51.2276694171776
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Cocaine,7,74.9763052043416
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,21,415.415717513028
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,3,6.590939784752
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,3,1.7590242960456002
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,11,436.6333583475272
2023,SEP,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,1,0.052249556094
2023,SEP,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Fentanyl,1,3.2628414776
2023,SEP,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Methamphetamine,1,0.000440924524
2023,SEP,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Other Drugs**,1,0.041005980732
2023,SEP,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Cocaine,2,21.882202277072
2023,SEP,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Marijuana,2,243.0077029460728
2023,SEP,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Other Drugs**,5,4.6099540833248005
2023,SEP,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,3,0.700188144112
2023,SEP,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Other Drugs**,2,0.17416518698
2023,SEP,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,5,14.7357
2023,SEP,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,1,0.0355
2023,SEP,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,1,57.9606
2023,SEP,U.S. Border Patrol,Coastal/Interior,Other,NEW ORLEANS SECTOR,Fentanyl,1,48.5012
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Fentanyl,1,0.0
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Marijuana,4,0.1386
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Methamphetamine,1,0.0
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other Drugs**,1,0.0487999999999999
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Marijuana,2,0.1023
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Marijuana,4,1.7154
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Other Drugs**,2,11.6911
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,3,36.7248
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other Drugs**,1,0.0015
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Cocaine,1,26.9892
2023,SEP,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,1,0.0265
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Cocaine,5,6.9687
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Ecstasy,1,0.4874
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Fentanyl,1,0.0084
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,88,234.5697
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Methamphetamine,9,83.6204
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other Drugs**,12,3.4689
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Fentanyl,1,0.0139
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Marijuana,7,0.0709
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Methamphetamine,6,0.0311
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Ecstasy,1,0.0064
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Marijuana,3,3.8674
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Methamphetamine,4,2804.2986
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other Drugs**,3,0.7232000000000001
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Cocaine,4,12.9565
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Marijuana,8,4.8068
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Methamphetamine,6,148.8914
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other Drugs**,2,1.7548
