"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Michigan","26","2019","2019",1813,9986857,18.2,17.3,19.0
,"Michigan","26","2020","2020",2228,9966555,22.4,21.4,23.3
,"Michigan","26","2021","2021",2593,10050811,25.8,24.8,26.8
,"Michigan","26","2022","2022",2454,10034113,24.5,23.5,25.4
,"Michigan","26","2023","2023",2340,10037261,23.3,22.4,24.3
,"Michigan","26","2024 ","2024",1384,10140459,13.6,12.9,14.4
"Total","Michigan","26",,,14855,70211971,21.2,20.8,21.5
,"Minnesota","27","2018","2018",352,5611179,6.3,5.6,6.9
,"Minnesota","27","2019","2019",435,5639632,7.7,7.0,8.4
,"Minnesota","27","2020","2020",705,5657342,12.5,11.5,13.4
,"Minnesota","27","2021","2021",1003,5707390,17.6,16.5,18.7
,"Minnesota","27","2022","2022",1057,5717184,18.5,17.4,19.6
,"Minnesota","27","2023","2023",1009,5737915,17.6,16.5,18.7
,"Minnesota","27","2024 ","2024",690,5793151,11.9,11.0,12.8
"Total","Minnesota","27",,,5251,39863793,13.2,12.8,13.5
,"Mississippi","28","2018","2018",177,2986530,5.9,5.1,6.8
,"Mississippi","28","2019","2019",249,2976149,8.4,7.3,9.4
,"Mississippi","28","2020","2020",409,2966786,13.8,12.4,15.1
,"Mississippi","28","2021","2021",566,2949965,19.2,17.6,20.8
,"Mississippi","28","2022","2022",552,2940057,18.8,17.2,20.3
,"Mississippi","28","2023","2023",497,2939690,16.9,15.4,18.4
,"Mississippi","28","2024 ","2024",305,2943045,10.4,9.2,11.5
"Total","Mississippi","28",,,2755,20702222,13.3,12.8,13.8
,"Missouri","29","2018","2018",1185,6126452,19.3,18.2,20.4
,"Missouri","29","2019","2019",1137,6137428,18.5,17.4,19.6
,"Missouri","29","2020","2020",1428,6151548,23.2,22.0,24.4
,"Missouri","29","2021","2021",1638,6168187,26.6,25.3,27.8
,"Missouri","29","2022","2022",1629,6177957,26.4,25.1,27.6
,"Missouri","29","2023","2023",1501,6196156,24.2,23.0,25.5
,"Missouri","29","2024 ","2024",958,6245466,15.3,14.4,16.3
"Total","Missouri","29",,,9476,43203194,21.9,21.5,22.4
,"Montana","30","2018","2018",64,1062305,6.0,4.6,7.7
,"Montana","30","2019","2019",73,1068778,6.8,5.4,8.6
,"Montana","30","2020","2020",88,1080577,8.1,6.5,10.0
,"Montana","30","2021","2021",116,1104271,10.5,8.6,12.4
,"Montana","30","2022","2022",131,1122867,11.7,9.7,13.7
,"Montana","30","2023","2023",135,1132812,11.9,9.9,13.9
,"Montana","30","2024 ","2024",105,1137233,9.2,7.5,11.0
"Total","Montana","30",,,712,7708843,9.2,8.6,9.9
,"Nebraska","31","2018","2018",66,1929268,3.4,2.6,4.4
,"Nebraska","31","2019","2019",73,1934408,3.8,3.0,4.7
,"Nebraska","31","2020","2020",107,1937552,5.5,4.5,6.6
,"Nebraska","31","2021","2021",122,1963692,6.2,5.1,7.3
,"Nebraska","31","2022","2022",126,1967923,6.4,5.3,7.5
,"Nebraska","31","2023","2023",80,1978379,4.0,3.2,5.0
,"Nebraska","31","2024 ","2024",68,2005465,3.4,2.6,4.3
"Total","Nebraska","31",,,642,13716687,4.7,4.3,5.0
,"Nevada","32","2018","2018",399,3034392,13.1,11.9,14.4
,"Nevada","32","2019","2019",397,3080156,12.9,11.6,14.2
,"Nevada","32","2020","2020",584,3138259,18.6,17.1,20.1
,"Nevada","32","2021","2021",631,3143991,20.1,18.5,21.6
,"Nevada","32","2022","2022",660,3177772,20.8,19.2,22.4
,"Nevada","32","2023","2023",883,3194176,27.6,25.8,29.5
,"Nevada","32","2024 ","2024",822,3267467,25.2,23.4,26.9
"Total","Nevada","32",,,4376,22036213,19.9,19.3,20.4
,"New Hampshire","33","2018","2018",421,1356458,31.0,28.1,34.0
,"New Hampshire","33","2019","2019",373,1359711,27.4,24.6,30.2
,"New Hampshire","33","2020","2020",347,1366275,25.4,22.7,28.1
,"New Hampshire","33","2021","2021",393,1388992,28.3,25.5,31.1
,"New Hampshire","33","2022","2022",432,1395231,31.0,28.0,33.9
,"New Hampshire","33","2023","2023",405,1402054,28.9,26.1,31.7
,"New Hampshire","33","2024 ","2024",262,1409032,18.6,16.3,20.8
"Total","New Hampshire","33",,,2633,9677753,27.2,26.2,28.2
,"New Jersey","34","2018","2018",2618,8908520,29.4,28.3,30.5
,"New Jersey","34","2019","2019",2544,8882190,28.6,27.5,29.8
,"New Jersey","34","2020","2020",2581,8882371,29.1,27.9,30.2
,"New Jersey","34","2021","2021",2734,9267130,29.5,28.4,30.6
,"New Jersey","34","2022","2022",2686,9261699,29.0,27.9,30.1
,"New Jersey","34","2023","2023",2393,9290841,25.8,24.7,26.8
,"New Jersey","34","2024 ","2024",1659,9500851,17.5,16.6,18.3
"Total","New Jersey","34",,,17215,63993602,26.9,26.5,27.3
,"New Mexico","35","2018","2018",359,2095428,17.1,15.4,18.9
,"New Mexico","35","2019","2019",410,2096829,19.6,17.7,21.4
,"New Mexico","35","2020","2020",569,2106319,27.0,24.8,29.2
,"New Mexico","35","2021","2021",802,2115877,37.9,35.3,40.5
,"New Mexico","35","2022","2022",776,2113344,36.7,34.1,39.3
,"New Mexico","35","2023","2023",751,2114371,35.5,33.0,38.1
,"New Mexico","35","2024 ","2024",522,2130256,24.5,22.4,26.6
"Total","New Mexico","35",,,4189,14772424,28.4,27.5,29.2
,"New York","36","2018","2018",3065,19542209,15.7,15.1,16.2
,"New York","36","2019","2019",3015,19453561,15.5,14.9,16.1
,"New York","36","2020","2020",4315,19336776,22.3,21.6,23.0
,"New York","36","2021","2021",5032,19835913,25.4,24.7,26.1
,"New York","36","2022","2022",5449,19677151,27.7,27.0,28.4
,"New York","36","2023","2023",5381,19571216,27.5,26.8,28.2
,"New York","36","2024 ","2024",3448,19867248,17.4,16.8,17.9
"Total","New York","36",,,29705,137284074,21.6,21.4,21.9
,"North Carolina","37","2018","2018",1806,10383620,17.4,16.6,18.2
,"North Carolina","37","2019","2019",1838,10488084,17.5,16.7,18.3
,"North Carolina","37","2020","2020",2668,10600823,25.2,24.2,26.1
,"North Carolina","37","2021","2021",3375,10551162,32.0,30.9,33.1
,"North Carolina","37","2022","2022",3694,10698973,34.5,33.4,35.6
,"North Carolina","37","2023","2023",2947,10835491,27.2,26.2,28.2
,"North Carolina","37","2024 ","2024",2176,11046024,19.7,18.9,20.5
"Total","North Carolina","37",,,18504,74604177,24.8,24.4,25.2
,"North Dakota","38","2018","2018",38,760077,5.0,3.5,6.9
